Quotes-name,Positive Affirmation,Acts,Journal
"""This time in your life is asking for your self compassion.""-Morgan Love",I am growing.,Stay hydrated. ,
"""You could be the world's best garbage man, the world's best model; it don't matter what you do if you're the best.""-Muhammad Ali",I am safe.,Let people know when you need a break.,
"""It always seems impossible until it's done.""-Nelson Mandela",I let go of all that no longer serves me.,"Ask for help as needed, you don't need to do this alone. ",
"""Find people who will make you better.""-Michelle Obama",I radiate positive energy.,"Be lenient with responding to others, if you decide to do so. ",
"""Let go of what has passed.""-Imam Ali",I deserve to be surrounded by people who love and respect me.,Congratulate yourself for completed tasks. ,
"""The best way to predict the future is to invent it.""-Alan Kay",My mind and my heart will remain open today.,Take a deep breath.,
"""Richness is not having many belongings, but richness is contentment of the soul.""-Prophet Muhammad SAS (PBUH)",I forgive myself for not being perfect.,Give someone a hug.,
"""I alone cannot change the world, but I can cast a stone across the water to create many ripples.""–Mother Teresa",I deserve and choose to be happy.,Go on a short walk. ,
"""Every moment is a fresh beginning.""-T.S. Eliot",Every breath I inhale calms me.,Set intentions.,
"""Happiness depends upon ourselves.""–Aristotle",I'm proud of myself.,Laugh and chat with a loved one.,
"""Normality is a paved road: it’s comfortable to walk but no flowers grow.""-Vincent Van Gogh",I alone hold the truth of who I am.,Watch a show.,
"“To get what you love, you must first be patient with what you hate.”—Imam Al-Ghazali","I have come farther that I would have ever thought possible, and I'm learning along the way.",Listen to your favorite podcast.,
"""I can't change the direction of the wind, but I can adjust my sails to always reach my destination.""-Jimmy Dean",I invite abundance and generous hearts.,Cleanse your space.,
"""Be patient; patience is a pillar of faith.""-Umar Ibn Al-Khattab","I practice gratitude for all that I have, and all that is yet to come.",Have a snack.,
"""Healing takes courage, and we all have courage, even if we have to dig a little to find it.""-Tori Amos",My times of rest are productive.,Meditate for five minutes.,
"""Trust yourself, you know more than you think you do.""-Benjamin Spock","When I speak my needs, I receive them abundantly.",Start a hobby.,
"""Work hard in silence, let your success be your noise.""-Frank Ocean","Today, I will hold compassion for myself.",Read a book or article.,
"""With every hardship there is ease.""-Quran 94:6",I gently and easily return to the present moment.,Exercise or stretch.,
"""Be in the company of those who boost your spirituality and motivate you to do good than those who make you feel low and unworthy.""-Mufti Menk",I am defined on my own terms.,Make your bed.,
